cmt_img,nstep,colors
arsalidou_images_png/3n_11.png,3,"[(255, 255, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255), (128, 0, 128, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 0, 255, 255), (255, 255, 0, 255)]"
arsalidou_images_png/3n_12.png,3,"[(0, 255, 0, 255), (255, 0, 255, 255), (255, 165, 0, 255), (255, 165, 0, 255), (255, 0, 255, 255), (255, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (255, 165, 0, 255)]"
arsalidou_images_png/3n_13.png,3,"[(0, 0, 255, 255), (0, 0, 255, 255), (255, 165, 0, 255), (128, 0, 128, 255), (255, 165, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255), (0, 255, 0, 255)]"
arsalidou_images_png/3n_14.png,3,"[(0, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (255, 165, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_15.png,3,"[(255, 0, 0, 255), (0, 0, 255, 255), (128, 0, 128, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 0, 255, 255), (128, 0, 128, 255), (128, 0, 128, 255)]"
arsalidou_images_png/3n_16.png,3,"[(255, 165, 0, 255), (255, 0, 255, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255), (255, 165, 0, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_17.png,3,"[(255, 0, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 0, 255, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_18.png,3,"[(255, 0, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (128, 0, 128, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_19.png,3,"[(0, 255, 0, 255), (255, 165, 0, 255), (255, 0, 255, 255), (0, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 165, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255)]"
arsalidou_images_png/3n_20.png,3,"[(255, 0, 255, 255), (255, 0, 0, 255), (255, 0, 255, 255), (255, 165, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_21.png,3,"[(0, 255, 0, 255), (255, 165, 0, 255), (128, 0, 128, 255), (0, 0, 255, 255), (0, 255, 0, 255), (128, 0, 128, 255), (255, 0, 255, 255), (255, 165, 0, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_22.png,3,"[(255, 255, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 255, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 0, 0, 255), (255, 0, 0, 255)]"
arsalidou_images_png/3n_23.png,3,"[(0, 255, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255), (255, 0, 0, 255), (255, 0, 0, 255), (128, 0, 128, 255), (255, 0, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255)]"
arsalidou_images_png/3n_24.png,3,"[(0, 0, 255, 255), (255, 0, 255, 255), (255, 255, 0, 255), (255, 255, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255), (255, 0, 255, 255)]"
arsalidou_images_png/3n_25.png,3,"[(0, 255, 0, 255), (255, 255, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 0, 0, 255), (255, 0, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255)]"
arsalidou_images_png/3n_26.png,3,"[(128, 0, 128, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 255, 0, 255), (255, 0, 0, 255), (255, 0, 255, 255), (255, 0, 255, 255), (128, 0, 128, 255), (128, 0, 128, 255)]"
arsalidou_images_png/3n_27.png,3,"[(255, 255, 0, 255), (255, 255, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255), (255, 0, 0, 255), (0, 255, 0, 255), (128, 0, 128, 255), (128, 0, 128, 255), (0, 0, 255, 255)]"
arsalidou_images_png/3n_28.png,3,"[(255, 255, 0, 255), (255, 0, 0, 255), (255, 165, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255), (255, 0, 0, 255), (0, 0, 255, 255)]"
arsalidou_images_png/3n_29.png,3,"[(255, 0, 0, 255), (255, 0, 0, 255), (255, 165, 0, 255), (128, 0, 128, 255), (0, 0, 255, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 0, 0, 255), (255, 165, 0, 255)]"
arsalidou_images_png/3n_30.png,3,"[(0, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (0, 0, 255, 255), (255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (255, 0, 0, 255)]"
